SAA 1175,996288,9
ARD 820,719806,1
ARB 666,332683,1
SCR 1631,417983,9
SBF 4545,1072192,9
NAA 1974,32934,5
AAB 4266,311966,1
LEA 4363,100060,3
AAE 8349,173664,1
CCS 563,1042948,13
B132234,488794,8
AAE 3847,160868,1
SAJ 1900,322157,9
SCP 1779,982580,9
AAD 9316,271382,1
IAA 7731,344818,10
SER 513,1084856,9
SAL 1466,994300,9
HAB 5104,152704,14
CCA 7089,1026338,13
SAR 3313,425971,9
SFI 7,1134383,9
B549627,482608,8
SBC 4173,992275,9
SAZ 8394,455966,9
SBO 4252,1184851,9
AAD 4793,255954,1
SBM 7010,1106677,9
SAG 4719,985036,9
SBD 2425,1018222,9
IAA 6340,342731,10
AAD 6973,244519,1
SEO 962,1107285,9
SEW 940,1118289,9
AAD 8244,165825,1
OAA 3949,16731,6
SBH 2400,1118136,9
SAO 8365,466065,9
SBC 1437,1002732,9
SAV 9165,982968,9
B130564,466824,8
JFB 1750,125844,12
SAD 4056,954055,9
SCE 7643,1158759,9
SAE 7565,451971,9
AAD 2965,256189,1
SBC 1078,1002301,9
SAC 7568,947863,9
ARH 461,721859,1
ATM 4328,319650,1
ATP 2225,736597,1
FRB 4383,6202,11
SBI 1357,1139161,9
B550388,483547,8
BEA3508,438790,8
SAP 8586,340966,9
B117422,413180,8
OAA 6216,20170,6
SAU 1228,959704,9
AAF 8905,730595,1
AAO 2273,716672,1
QAB 2450,774002,4
SBG 1422,1093376,9
ASD 306,336151,1
SAG 8386,338113,9
B552747,491092,8
IAB 7714,354022,10
SBD 9128,1031865,9
B556160,503195,8
SBL 1202,407360,9
SBJ 3106,1161928,9
SAJ 9966,464551,9
QAA 1784,4000944,4
HAG 071,106470,14
B517539,407387,8
AAG 2808,236615,1
SAI 6852,447055,9
SBN 6512,1117072,9
SAH 8650,374990,9
AAB 150,228057,1
B554378,498202,8
B136728,484765,8
SBJ 7402,1170590,9
OAG 170,29484,6
SCR 5088,1161156,9
SAV 2267,995302,9
B507174,366618,8
SBJ 9076,1174026,9
APW 931,418120,1
CCB 6613,1287,13
RAC410,99815,17
AAG 4872,740084,1
AAD 7649,166351,1
KMB812,31526,16
SAQ 1169,510517,9
SAE 7769,471353,9
LEA 2851,89490,3
SBJ 4933,1165508,9
B133333,501308,8
SAA 6166,921213,9
SAS 2437,401422,9
SBJ 6261,1168031,9
SAY 6763,446254,9
LAA 8371,78400,3
AAA 6224,322754,1
B559136,517482,8
EPF 822,365194,2
SAD 2713,952551,9
STP 6910,1184457,9
SAC 3377,415504,9
SAH 9922,482991,9
SBG 7687,1108619,9
SAJ 9665,447575,9
SAG 9702,441928,9
